# SAT(MJD)        RM     RMerr_minus RMerr_plus
59331.3551044899 -716.20 0.57 0.56
59341.3421512985 -495.81 0.70 0.68
59345.3242162664 -589.17 0.50 0.50
59353.2378814473 -594.81 0.75 0.81
59349.3125258660 -590.90 0.89 0.91
59353.2965372503 -593.14 1.06 1.14
59337.3358141341 -734.80 2.34 1.92
59348.3404883767 -594.30 0.56 0.56
59337.2647871467 -781.32 0.47 0.45
59343.2911078631 -573.68 0.48 0.43
59348.2074370852 -603.12 3.27 2.11
59351.2120687852 -602.08 0.25 0.23
59348.2831600505 -594.75 0.32 0.33
59345.3266879048 -584.39 0.91 0.92
59337.2209395007 -756.64 1.88 2.53
59360.1388906856 -594.82 2.26 1.94
59339.2626398334 -508.11 1.00 0.91
59353.2439236737 -591.02 0.27 0.26
59348.3415938060 -591.84 0.78 0.75
59350.3232055455 -591.00 0.93 0.83
59346.3400949515 -585.52 0.93 1.00
59354.1428978526 -593.75 0.42 0.44
59343.2973388482 -566.36 1.43 1.48
59337.2704145592 -781.58 0.15 0.16
59351.2150425424 -598.23 0.20 0.20
59352.3019139080 -590.95 0.97 0.91
